Project ID,Category,Quantity,Cost price,Sales price
QTE-000027,PAIDSER-SUBS,1.0,229.3,0.0
QTE-000075,PAIDSER-HOTEL,1.0,207.55,0.0
QTE-000075,PAIDSER-SUBS,2.0,162.0,175.0
QTE-000075,PAIDSER-MILEAGE,1030.0,0.36,0.45
QTE-000075,PAIDSER-HOTEL,1.0,207.55,0.0
QTE-000075,PAIDSER-SUBS,2.5,129.6,0.0
QTE-000078,PAIDSER-HOTEL,1.0,217.0,0.0
QTE-000078,PAIDSER-SUBS,3.5,77.86,175.0
QTE-000078,PAIDSER-MILEAGE,1130.0,0.36,0.45
QTE-000079,PAIDSER-HOTEL,1.0,100.0,0.0
QTE-000079,PAIDSER-SUBS,1.0,36.03,175.0
QTE-000079,PAIDSER-MILEAGE,823.0,0.36,0.45
QTE-000066,INST-FLIGHT,1.0,1555.24,0.0
QTE-000066,INST-CARHIRE,1.0,379.69,0.0
QTE-000066,INST-TOLL,1.0,169.9,0.0
QTE-000066,INST-MILEAGE,1214.0,0.36,0.0
QTE-000066,INST-SUBS,1.0,977.29,0.0
QTE-000066,INST-HOTEL,1.0,702.85,0.0
QTE-000066,INST-OTH,1.0,144.42,0.0
QTE-000083,INST-SUBS,1.0,2200.32,0.0
QTE-000085,INST-FLIGHT,1.0,727.83,0.0
QTE-000085,INST-CARHIRE,1.0,409.21,0.0
QTE-000085,INST-SUBS,1.0,292.14,0.0
QTE-000085,INST-HOTEL,1.0,380.6,0.0
QTE-000085,INST-OTH,1.0,158.53,0.0
QTE-000086,WAR-FLIGHT,1.0,364.99,273.74
QTE-000086,WAR-SUBS,1.0,214.85,161.14
QTE-000086,WAR-HOTEL,1.0,291.0,218.25
QTE-000087,TRN-FLIGHT,1.0,243.98,243.98
QTE-000087,TRN-CARHIRE,1.0,147.72,147.72
QTE-000087,TRN-OTH,1.0,16.2,16.2
QTE-000087,TRN-SUBS,4.0,74.1,175.0
QTE-000087,TRN-HOTEL,1.0,315.51,0.0
QTE-000087,TRN-OTH,1.0,33.7,33.7
QTE-000058,PAIDSER-SUBS,1.0,82.89,175.0
QTE-000058,PAIDSER-MILEAGE,680.0,0.36,0.45
QTE-000058,PAIDSER-TOLL,1.0,10.95,10.95
QTE-000018,PAIDSER-HOTEL,1.0,328.15,0.0
QTE-000018,PAIDSER-SUBS,3.0,102.62,175.0
QTE-000018,PAIDSER-TOLL,1.0,15.0,15.0
QTE-000018,PAIDSER-MILEAGE,846.0,0.36,0.45
QTE-000089,PAIDSER-FLIGHT,1.0,1408.76,1408.76
QTE-000089,PAIDSER-HOTEL,1.0,240.8,240.8
QTE-000089,PAIDSER-MILEAGE,150.0,0.36,0.45
QTE-000089,PAIDSER-OTH,1.0,102.46,102.46
QTE-000089,PAIDSER-SUBS,1.0,213.98,213.98
QTE-000090,WAR-HOTEL,1.0,165.3,123.98
QTE-000090,WAR-SUBS,1.0,114.0,85.5
QTE-000090,WAR-MILEAGE,318.0,0.36,0.27
QTE-000091,PAIDSER-FLIGHT,1.0,204.47,204.47
QTE-000091,PAIDSER-CARHIRE,1.0,84.91,84.91
QTE-000091,PAIDSER-OTH,1.0,24.17,24.17
QTE-000091,PAIDSER-HOTEL,1.0,110.03,0.0
